         MJD         m       dm      uJy   duJy F  err    chi/N       RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57818.618446 18.847027      NaN      -86     35 o    0     1.62 186.4363 12.66357  4649.88  4896.27  4.14  3.80 -45.7 -0.477    19.05 21.21 01a57818o0794o
57820.551535 17.603715      NaN     -154    110 o    0     1.25 186.4363 12.66357  2725.74  5229.00  3.86  3.58 -77.3 -0.506    17.60 18.62 01a57820o0684o
57820.579730 17.266969      NaN       24    142 o    0     1.42 186.4363 12.66357  2688.52  5190.18  4.22  3.84 -76.4 -0.470    17.54 19.49 01a57820o0740o
57820.593717 16.482301      NaN    -2206    309 o    0     1.82 186.4363 12.66357  2671.32  5305.79  4.21  3.87 -79.7 -0.526    16.78 18.74 01a57820o0768o
57828.527454 18.249822      NaN       23     53 o    0     1.80 186.4363 12.66357  6751.37  7228.16  3.59  3.30  88.8 -0.453    18.17 19.02 02a57828o0584o
57828.541809 18.526952      NaN      -30     47 o    0     1.43 186.4363 12.66357  4621.35  5592.62  3.81  3.43 -60.1 -0.461    18.49 19.82 01a57828o0645o
57828.543880 18.504094      NaN      -22     48 o    0     2.17 186.4363 12.66357  6734.28  7189.74  3.54  3.25 -88.8 -0.460    18.17 19.00 02a57828o0614o
57828.555363 18.504094      NaN      -53     48 o    0     1.25 186.4363 12.66357  4642.15  5631.76  3.67  3.33 -53.3 -0.476    18.49 19.76 01a57828o0672o
57828.560786 18.431198      NaN        1     51 o    0     1.65 186.4363 12.66357  6794.61  7266.76  3.60  3.34  89.9 -0.449    18.12 18.96 02a57828o0645o
57828.568879 18.356290      NaN     -105     55 o    0     1.25 186.4363 12.66357  4583.37  5554.69  3.93  3.59 -53.8 -0.450    18.42 19.74 01a57828o0699o
57828.574857 18.243872      NaN      -17     61 o    0     1.32 186.4363 12.66357  6814.02  7149.70  3.64  3.35 -88.9 -0.446    18.10 18.94 02a57828o0670o
57828.582351 18.417189      NaN      -50     52 o    0     1.68 186.4363 12.66357  4565.71  5670.51  4.16  3.77 -57.0 -0.441    18.31 19.63 01a57828o0726o
57828.592795 18.158337      NaN     -131     66 o    0     1.37 186.4363 12.66357  6778.82  7205.40  3.84  3.58 -89.9 -0.424    18.00 18.87 02a57828o0707o
57830.537540 18.623526      NaN     -118     43 o    0     1.36 186.4363 12.66357  3389.90  3925.47  3.72  3.29 -81.3 -0.465    18.80 20.34 01a57830o0629o
57830.551610 18.757738      NaN      -57     38 o    0     1.14 186.4363 12.66357  3411.33  3964.04  3.73  3.29 -76.0 -0.461    18.77 20.30 01a57830o0657o
57830.565114 18.526952      NaN      -44     47 o    0     1.21 186.4363 12.66357  3352.50  3887.12  3.77  3.26 -77.7 -0.471    18.76 20.25 01a57830o0684o
57830.579164 18.481707      NaN     -114     49 o    0     1.04 186.4363 12.66357  3335.19  4001.81  3.92  3.38 -77.0 -0.472    18.70 20.19 01a57830o0712o
57832.516573 18.978793      NaN      -22     31 o    0     1.30 186.4363 12.66357  9374.88  7236.65  3.49  2.99 -75.3 -0.433    18.63 19.93 02a57832o0567o
57832.518520 18.445391      NaN       35     39 o    0     1.49 186.4363 12.66357  2292.98  5562.74  3.83  3.46 -86.5 -0.474    19.01 20.75 01a57832o0600o
57832.533020 18.598565      NaN      -44     44 o    0     1.23 186.4363 12.66357  2314.56  5600.58  4.01  3.60 -85.0 -0.462    18.97 20.71 01a57832o0629o
57832.533953 19.089302      NaN      -46     28 o    0     1.70 186.4363 12.66357  9355.18  7196.89  3.55  3.03 -78.3 -0.429    18.60 19.89 02a57832o0598o
57832.547521 18.675237      NaN     -175     41 o    0     1.77 186.4363 12.66357  2257.40  5523.57  4.17  3.72 -86.3 -0.513    18.91 20.66 01a57832o0658o
57832.551345 18.910912      NaN       -4     33 o    0     1.23 186.4363 12.66357  9413.48  7274.30  3.46  2.93 -78.3 -0.438    18.61 19.86 02a57832o0630o
57832.561955 18.598565      NaN     -186     44 o    0     1.53 186.4363 12.66357  2239.84  5639.42  4.19  3.73 -85.4 -0.461    18.93 20.65 01a57832o0687o
57832.571997 19.014394      NaN     -173     30 o    0     1.58 186.4363 12.66357  9435.14  7156.51  3.67  3.53 -71.9 -0.468    18.47 19.78 02a57832o0669o
57833.519973 18.504094      NaN     -102     48 o    0     0.97 186.4363 12.66357  1569.48  3067.26  4.18  3.31 -84.7 -0.500    19.05 20.76 01a57833o0604o
57833.534562 18.649074      NaN      -63     42 o    0     1.32 186.4363 12.66357  1591.20  3105.36  4.20  3.37 -84.4 -0.508    19.01 20.72 01a57833o0633o
57833.549108 18.481707      NaN      -31     49 o    0     1.23 186.4363 12.66357  1534.83  3027.34  4.25  3.41 -85.2 -0.507    19.01 20.71 01a57833o0662o
57833.563598 18.526952      NaN      -77     47 o    0     1.36 186.4363 12.66357  1517.50  3143.74  4.42  3.60 -84.5 -0.486    18.96 20.65 01a57833o0691o
57834.517830 18.702047      NaN      -59     40 o    0     1.44 186.4363 12.66357  1927.20  3841.28  4.09  3.47 -83.5 -0.486    19.13 21.05 01a57834o0451o
57834.532893 18.878500      NaN      -15     34 o    0     1.39 186.4363 12.66357  1948.05  3878.10  4.29  3.53 -83.6 -0.490    19.09 20.96 01a57834o0481o
