         MJD         m       dm      uJy   duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57837.551419 18.598565      NaN     -576     44 o    0    5.15 186.44598 12.66357  1046.75  4561.01  4.91  4.15  82.6 -0.367    19.03 20.93 01a57837o0501o
57838.501843 18.910912      NaN     -291     33 o    0    3.97 186.44598 12.66357  3634.26  4041.85  4.15  3.61 -72.4 -0.438    19.18 21.25 01a57838o0477o
57838.517037 18.944322      NaN     -346     32 o    0    4.18 186.44598 12.66357  3655.46  4080.13  4.33  3.77 -71.6 -0.423    19.10 21.18 01a57838o0506o
57838.531679 18.816441      NaN     -296     36 o    0    4.28 186.44598 12.66357  3599.81  4002.96  4.32  3.73 -72.2 -0.429    19.10 21.14 01a57838o0534o
57838.545757 18.786693      NaN     -358     37 o    0    3.49 186.44598 12.66357  3583.11  4118.85  4.35  3.83 -71.0 -0.428    19.08 21.14 01a57838o0561o
57842.494128 18.878500      NaN     -249     34 o    0    4.28 186.44598 12.66357  2241.22  6591.22  4.41  3.90 -80.2 -0.425    19.02 20.96 01a57842o0538o
57842.508330 18.816441      NaN     -186     36 o    0    3.52 186.44598 12.66357  2262.61  6629.71  4.37  3.84 -75.8 -0.424    19.05 20.97 01a57842o0565o
57842.523147 18.878500      NaN     -142     34 o    0    3.62 186.44598 12.66357  2206.94  6552.65  4.30  3.85 -74.4 -0.436    19.02 20.94 01a57842o0593o
57842.537884 18.675237      NaN     -489     41 o    0    4.07 186.44598 12.66357  2189.53  6667.74  4.49  4.09 -78.4 -0.417    18.98 20.89 01a57842o0621o
57845.482580 19.014394      NaN      -53     30 o    0    3.78 186.44598 12.66357  3412.38  6522.61  3.63  3.42 -74.5 -0.470    19.09 21.02 01a57845o0494o
57845.497940 18.910912      NaN      -47     33 o    0    2.94 186.44598 12.66357  3434.39  6560.53  3.62  3.44 -71.2 -0.468    19.05 20.97 01a57845o0523o
57845.513807 19.014394      NaN     -124     30 o    0    4.10 186.44598 12.66357  3377.54  6482.91  3.68  3.46 -74.7 -0.461    19.03 20.92 01a57845o0553o
57845.529115 18.910912      NaN     -330     33 o    0    4.09 186.44598 12.66357  3361.09  6598.13  3.85  3.67 -75.3 -0.456    18.95 20.85 01a57845o0582o
57846.483705 18.878500      NaN     -136     34 o    0    3.52 186.44598 12.66357  2120.35  5777.95  4.31  3.79 -80.3 -0.425    18.97 20.92 01a57846o0281o
57846.499024 18.729535      NaN     -162     39 o    0    3.41 186.44598 12.66357  2139.75  5815.15  4.24  3.70 -79.3 -0.433    18.97 20.84 01a57846o0310o
57846.514834 18.786693      NaN     -218     37 o    0    3.50 186.44598 12.66357  2082.71  5737.82  4.75  4.19 -78.7 -0.393    18.84 20.82 01a57846o0340o
57846.530113 18.816441      NaN     -130     36 o    0    3.75 186.44598 12.66357  2068.37  5854.43  4.94  4.53  89.8 -0.392    18.73 20.80 01a57846o0369o
57849.447112 18.649074      NaN     -189     42 o    0    2.74 186.44598 12.66357  2388.05  4984.69  3.75  3.42 -89.0 -0.470    18.52 20.09 01a57849o0454o
57849.462387 18.702047      NaN      -67     40 o    0    2.10 186.44598 12.66357  2408.85  5023.30  3.66  3.30 -87.0 -0.468    18.61 20.11 01a57849o0485o
57849.484320 18.757738      NaN     -218     38 o    0    3.27 186.44598 12.66357  2351.80  4946.51  3.73  3.34 -85.4 -0.464    18.58 20.05 01a57849o0530o
57849.492627 18.623526      NaN     -171     43 o    0    1.69 186.44598 12.66357  2335.33  5061.59  3.63  3.28 -86.0 -0.475    18.59 20.04 01a57849o0547o
57857.445992 16.478793      NaN     -106    310 o    0    1.27 186.44598 12.66357  2262.76  3978.97  3.78  3.28 -86.1 -0.485    16.58 17.03 01a57857o0332o
57857.459654 16.729859      NaN     -392    246 o    0    1.70 186.44598 12.66357  2285.70  4017.37  3.68  3.17 -83.6 -0.470    16.59 17.04 01a57857o0360o
